,video_id,video_title,upload_date,view_count,like_count,comment_count,std_sentiment_score,mean_sentiment_score,median_sentiment_score,overall_sentiment_category
83,Hz4bcxs7Vms,The genius marketing behind NELK  Full Send…,2021-08-02,154792,4941,109,0.5088800397131288,-0.2546752214431763,0.0,Negative
82,pnOtEPg1GAE,How Yeti Charges $35 For A Cup…,2021-08-04,1038455,37628,691,0.5493151543275648,-0.2687742245197296,0.0,Negative
81,2yn9Pa2W_3w,I got thumbnail advice from MrBeast 😏,2021-09-02,532261,45826,225,0.5996433819508483,-0.33072869390249254,-0.654583066701889,Negative
80,6hfjCpnlzDc,I tried finding profitable sneakers at Kohl’s 😖,2021-10-20,650797,39161,150,0.6169441850884508,-0.17891550183296204,0.0,Negative
79,erni261z5wU,I tried flipping NFTs… here’s how much I made.,2021-10-27,4474616,168062,1917,0.5159030855952926,-0.37071480095386505,-0.590276449918747,Negative
78,vraQBntRrPE,Trying to turn $0 into $10k from scratch 💰,2021-10-28,4715317,245725,1026,0.49105204278716025,-0.2321845108270645,0.0,Negative
77,FzYz_NPwtq0,My New Money Printing Tablet Farm,2022-01-07,225342,11572,245,0.3681015931830938,-0.01102489829063415,0.0,Neutral
76,owD-CiSL80Y,How much I made selling dollar store items online…,2022-01-17,1452106,85132,493,0.5982037652233608,-0.4380101171135902,-0.7247146368026733,Negative
75,I4f0lEcZQII,At 25yo I was doing $100k per month on eBay,2022-01-24,521855,27326,164,0.6159957673875284,0.013116142451763157,0.0,Neutral
74,3S7lqhdaOZw,I Paid Fiverr Video Editors To Make A Commercial,2022-01-25,1744928,121666,2473,0.5669321712070279,0.04522297739982605,0.0,Neutral
73,uEaXu1m4R5Y,How much my Pokémon cards investment is worth 💰,2022-01-26,14570731,874614,2566,0.49777794631060374,-0.13863089859485625,0.0,Negative
72,Nbrj0tIVXb0,How I built a tablet farm that makes me money…,2022-01-28,13609004,584782,4414,0.5271978992607991,-0.12801544666290282,0.0,Negative
71,hqNw6WsmZeI,Why I’m not selling NFT’s ever again…,2022-01-31,435588,15715,268,0.5531877806646441,-0.20021583318710326,0.0,Negative
70,kFHPPvjvxxM,I made a chain so I can wear my NFT’s…,2022-02-02,98791,4843,103,0.6044876603683715,0.015719952583312984,0.0,Neutral
69,JM2vkZBf0G4,How to grow $1k into $1mil online (what I did),2022-02-04,268687,14051,136,0.5997827031666652,-0.12863793075084687,0.0,Negative
68,vzAqjWPBdSc,How I made my NFT chain (step by step),2022-02-07,223064,7828,152,0.6242336539417149,-0.19096363753080367,0.0,Negative
67,_k56dhmsU_0,I paid Fiverr $30 and $120 to design NFT’s (comparison),2022-02-11,2493035,153407,1394,0.6325382853209351,-0.1833580955862999,0.0,Negative
66,DitHFGQgqnY,Ranking side hustles I’ve tried from worst to best,2022-02-14,3036555,182392,698,0.6315847006972118,-0.03208942651748657,0.0,Neutral
65,xED6b2rRHM8,A multimillionaire CEO’s secret manufacturing tip,2022-02-18,1092992,51289,338,0.669695085622046,0.16367531090974807,0.0,Positive
64,MHcoJWtSP3g,I bought a wireless hotspot that makes me money,2022-02-22,6163849,296485,1255,0.5537092689968721,-0.23963736593723298,0.0,Negative
63,dzCY_A1W2Wk,I built a sunglasses brand to compete with Ray-Ban,2022-02-24,2644327,123712,1119,0.5947654822388114,-0.1021197783946991,0.0,Negative
62,x7EGS-QEqzA,I tried finding profitable flips at Walmart…,2022-02-25,16236845,851957,4176,0.5123234465363631,-0.330349403321743,-0.5352123081684113,Negative
61,Ip2JJbz11h4,How much $ I’ve made helium mining (Week 1),2022-02-28,2900702,180433,1206,0.4556967957963351,-0.20724185049533844,0.0,Negative
60,J6C4ZLvt1Oo,I made a diamond play button out of paper,2022-03-02,2674456,177703,350,0.5765046744915417,0.3580364739894867,0.0,Positive
59,ScJGWii1bwc,I spent $100 on Pokémon cards to flip for profit,2022-03-03,4554853,223045,1015,0.5204144809260288,-0.21536525458097458,0.0,Negative
58,D4UXIL3BHNs,I tried starting a streetwear brand for $70,2022-03-07,530461,34462,534,0.5972634765610892,0.16883253514766694,0.0,Positive
57,5HwXYQO4aC8,What influencers actually get for free…,2022-03-08,270517,18598,116,0.6205212239422572,0.048927416801452635,0.0,Neutral
56,_UR4m2qtRsI,I upgraded my $ making hotspot (week 2 results),2022-03-10,541794,33465,204,0.5177433971905863,0.01798962116241455,0.0,Neutral
55,z9MWIpKlhG8,Why I spent $3k on a full send metacard NFT (Nelk),2022-03-15,508914,18276,441,0.5219383962329766,-0.3266358259320259,-0.4970400631427765,Negative
54,m0PtxJF7Bh4,I tried finding profitable flips at Goodwill…,2022-03-24,1220806,82160,785,0.5528354991313885,-0.42485752820968625,-0.7108234763145447,Negative
53,nMCi9ByUtac,I tried finding profitable flips at Walmart AGAIN,2022-04-01,2057610,128809,470,0.5588055166878643,-0.3437330770492554,-0.6003038883209229,Negative
52,rrH1T6KWaYA,I tried flipping sneakers from the Nike outlet,2022-04-15,5004675,306074,852,0.47982115534710473,-0.26083997398614883,0.0,Negative
51,bVn_DCwTG-w,I tried making a pro commercial for under $500,2022-04-21,150244,10616,105,0.5819883765935849,-0.007658710479736334,0.0,Neutral
50,9EzqbL7guy0,I bought a Pokémon collection to flip for profit (AGAIN),2022-04-29,1533920,86320,457,0.5223231720136048,-0.032645346224308015,0.0,Neutral
49,dj9EQMAvrXQ,I tried finding profitable flips at Walmart (in a RICH city 💰),2022-05-06,2116905,123699,567,0.4924301685684809,-0.27619367837905884,0.0,Negative
48,nsvTEzFhwl4,I just UPGRADED my money making hotspot (helium update PT.4),2022-05-13,3348675,219116,774,0.44452861862340515,-0.36218654096126557,0.0,Negative
47,WW5xJ0yPdWE,My sneaky plan to monetize my meme page…,2022-05-18,252723,15479,176,0.5323184409373699,0.16701390564441682,0.0,Positive
46,7s_gTXbXBcU,Make this ONE change to 2x your eBay/Amazon sales,2022-05-20,1075509,63755,202,0.557702144692493,0.027229236960411077,0.0,Neutral
45,u6ZpmfV0Zck,I tried making money with unclaimed mail,2022-05-22,3214566,193022,728,0.4446121283079294,-0.2038495323061943,0.0,Negative
44,IAI1UswVJGA,My Money Printing Tablet Farm Journey (How much I made),2022-05-24,32861,1413,114,0.46079277348244935,0.1973290717601776,0.0,Positive
43,SX-An2mHmm0,I looked for profit in a RICH CITY thrift store,2022-05-27,1861965,115574,744,0.5186136903095314,-0.3428408196568489,-0.5031708031892776,Negative
42,TaLnBn-qTAE,Did I find real Yeezy slides?,2022-05-30,4074711,308838,549,0.5963661414176115,-0.09976597338914871,0.0,Neutral
41,KlTyRgVWqmI,I bought the cheapest rolex on eBay…,2022-06-02,1160878,54112,293,0.5723625774970166,-0.25416878700256346,0.0,Negative
40,hMVUdFEN74U,Unboxing the cheapest rolex on eBay,2022-06-03,546741,30044,234,0.5984696366575564,-0.1985548010468483,0.0,Negative
39,SHFWyvLzUxU,I Bought The Cheapest Rolex On eBay,2022-06-08,221018,14921,1410,0.7114351500366721,0.07496344149112702,0.0,Neutral
38,auxv8xyea9c,Is the cheapest rolex on eBay real?,2022-06-09,30106646,2002289,2162,0.5629307459462859,-0.18329689592123033,0.0,Negative
37,0gJlInD47gw,Confronting the seller of the “cheapest rolex on ebay”,2022-06-10,1234922,80809,626,0.6924316606703496,-0.27737522006034854,-0.6301054060459137,Negative
36,tDEwiQlahfU,Surprising her with the cheapest rolex on eBay,2022-06-13,1316230,90274,1289,0.6757235457958739,-0.23180478662252427,-0.4919201284646988,Negative
35,HuzI5-Cz6sM,I tried finding profitable flips (ELON MUSK EDITION),2022-06-18,806622,61655,173,0.4937823248777491,-0.3493231117725372,0.0,Negative
34,0JqbAZhncZ8,Did this seller scam me with her rolex?,2022-06-22,853458,65159,152,0.595180664374662,-0.29943108290433884,-0.6070880889892578,Negative
33,ER0Nmtf1ZMw,I tried upgrading my money making hotspot (helium update PT.5),2022-06-25,2370984,154716,651,0.4966084178238112,-0.20754144668579103,0.0,Negative
32,INCQBEu_juI,I’m building a sunglasses brand to compete with Rayban (ep.2),2022-06-28,771667,57089,417,0.6447289420225035,-0.06758468389511109,0.0,Neutral
31,gKACwcBbsQ4,I tried going viral as a small brand,2022-07-01,3554636,318865,536,0.5719307962003479,-0.3279347789287567,-0.5250644683837891,Negative
30,tFmEMzQFPYk,I bought the most expensive water on Amazon,2022-07-05,7633883,623213,4078,0.5075885431604327,-0.17840122789144516,0.0,Negative
29,jjhNrouKLQ4,Taste testing the most expensive water on Amazon,2022-07-07,3095865,340768,1515,0.599060726233315,0.06953836709260941,0.0,Neutral
28,-NeMQkXjzLQ,I tried turning $21 into $100 in profit (30min challenge),2022-07-12,1952270,158666,414,0.5534480664571928,-0.13703735440969467,0.0,Negative
27,_G6Tvk5rJdc,I paid Fiverr to redesign my product packaging,2022-07-14,7941682,408708,2753,0.6202979210312226,0.07463861227035523,0.0,Neutral
26,sZcgNlKA54k,I’m investing in $100 empty boxes #shorts #sponsored,2022-07-18,1681458,159558,475,0.4817908475433783,-0.272914060652256,0.0,Negative
25,0luY8pOzNww,I bought a questionable pineapple…,2022-07-20,10616068,946659,4680,0.47014056901007434,-0.09940707266330719,0.0,Neutral
24,nwmvg6vpMns,I’m turning a meme page into a business,2022-07-22,269367,22415,176,0.5137089801062944,-0.462138497531414,-0.6512433290481567,Negative
23,ZkCZMeMBNS8,Is Amazon Affiliate Marketing a Good Side Hustle?,2022-07-26,2018008,152663,221,0.5197420349425679,-0.205938760638237,0.0,Negative
22,Feeh8hMClDU,How she started a $10mil per year “side hustle”,2022-07-28,180821,10472,116,0.5518845365933825,-0.13054830729961395,0.0,Negative
21,MeR0neyhrEw,How much iPhone box costs to make in USA vs. China,2022-07-30,5546984,325141,5859,0.41865842586730756,-0.4334195470809937,-0.6097709238529205,Negative
20,G2ZwJE4Jm7U,saying goodbye…,2022-08-03,215543,16707,2622,0.5307789355112988,0.4564735150337219,0.638157069683075,Positive
19,1rST6dPtfcQ,I tested the midnight Walmart side hustle,2022-08-05,1837882,71427,686,0.4979000332919097,-0.3005500969290733,-0.2403554767370224,Negative
18,Rd5XQOrUSio,Revealing My Entire Pokémon Investment,2022-08-08,2756855,115333,830,0.4757928882944173,-0.02334570646286011,0.0,Neutral
17,AdMYj6_5PpA,He sold me fake Pokémon cards… maybe?,2022-08-12,421491,21197,493,0.39190295854959795,-0.1706313368678093,0.0,Negative
16,9-_qO9MfTso,How much my money making hotspot has made,2022-08-18,866417,64077,246,0.4463993544366961,-0.3232922846078873,0.0,Negative
15,_ysQw7k675o,I Bought Gold Pay Dirt And Made $______,2022-08-19,37322,1582,230,0.5510577143531794,0.06353414148092269,0.0,Neutral
14,7H0SC3a1J10,Is Gold Pay Dirt A Good Side Hustle?,2022-08-22,1844903,117969,420,0.5420278462517539,-0.3223466241359711,-0.5343534350395203,Negative
13,3-V00ElEXig,How much gold I found in Amazon pay dirt,2022-08-23,5827039,248207,778,0.48136739829551756,-0.34795015513896943,-0.49005362391471863,Negative
12,yYqWz-v9frA,Valuing the gold I found in Amazon pay dirt,2022-08-24,625339,52224,255,0.5309822442514559,-0.16284103214740753,0.0,Negative
11,7VuYOkPG4AE,I got a gadget filled mystery box in the mail #shorts #sponsored,2022-08-31,211944,16214,154,0.5895426434337157,-0.13556830823421478,0.0,Negative
10,oaoEYpKUaEA,I paid an artist $20 to turn Yeezy sneakers into sunglasses,2022-09-01,4234596,317273,645,0.5771260185354259,-0.15182429641485215,0.0,Negative
9,2bMxiKefjHw,Testing the world’s brightest flashlight OUTSIDE,2022-09-08,229984,16588,135,0.4788121294046018,-0.05158551275730133,0.0,Neutral
8,5fwdTOSCHXg,How to make $200 a day with a drone,2022-09-23,1729501,123892,814,0.5023465693586298,-0.22605199575424195,0.0,Negative
7,luDrIsXN2GI,How I profited off the fidget spinner craze,2022-10-04,3004250,197699,260,0.4940491993032845,-0.18508209884166718,0.0,Negative
6,2iq9yJ_ptso,I paid artists $200 to turn Yeezys into sunglasses (foam runners),2022-10-11,1871976,143156,213,0.6785101493525412,-0.18485303670167924,0.0,Negative
5,JZvrStxx2Z8,I manufactured Yeezy sunglasses from scratch,2022-10-12,455182,33210,203,0.672716816447246,0.04053933441638947,0.0,Neutral
4,iwe3SuNkXbg,I bought $500 worth of G-Shock￼￼ watches,2022-10-14,1162979,75225,1536,0.5518939495107058,0.3371080201864243,0.4698635935783386,Positive
3,DfapVOpJdks,How much gold I found in $100 Amazon pay dirt,2022-10-20,1835207,110940,606,0.5877980923870973,-0.2697834125161171,-0.242712140083313,Negative
2,pNbLkQV3OkQ,Is the cheapest Kobe autographed ball online real?,2022-10-26,2103937,141783,220,0.44455813819824896,-0.2763777768611908,0.0,Negative
1,_DcZFOirIDE,Anyone need a new camera?,2022-11-01,40723,3162,3230,0.4458736028800485,0.5950237068533898,0.787438303232193,Positive
0,DOtPOfeyJ4Q,Confronting the seller of a questionable Kobe autograph,2022-11-02,781610,62761,447,0.4967487900597909,-0.0553879913687706,0.0,Neutral
