,video_id,video_title,upload_date,view_count,like_count,comment_count
0,DOtPOfeyJ4Q,Confronting the seller of a questionable Kobe autograph,2022-11-02,781610,62761,447
1,ZrZVTAdSMl8,Do experts think my cheap Kobe autograph is real?,2022-11-01,113539,9483,57
2,_DcZFOirIDE,Anyone need a new camera?,2022-11-01,40723,3162,3230
3,JVHboSk65-k,I asked collectors if my cheap Kobe autographs are real,2022-10-31,971564,78562,70
4,nxy-A8auW9U,Unboxing a $400 Kobe autographed ball (real?),2022-10-28,501415,46803,70
5,IzbqWW52D6Y,I bought a $400 Kobe autographed basketball (sus?),2022-10-28,1469829,135524,88
6,pNbLkQV3OkQ,Is the cheapest Kobe autographed ball online real?,2022-10-26,2103937,141783,220
7,i-EGeo6iLx0,I bought the cheapest Kobe autographed ball online,2022-10-26,455423,30172,68
8,DfapVOpJdks,How much gold I found in $100 Amazon pay dirt,2022-10-20,1835207,110940,606
9,iwe3SuNkXbg,I bought $500 worth of G-Shock￼￼ watches,2022-10-14,1162979,75225,1536
10,JZvrStxx2Z8,I manufactured Yeezy sunglasses from scratch,2022-10-12,455182,33210,203
11,2iq9yJ_ptso,I paid artists $200 to turn Yeezys into sunglasses (foam runners),2022-10-11,1871976,143156,213
12,LidHyLEYw14,I Turned Yeezy Sneakers Into Sunglasses,2022-10-06,9368,478,70
13,luDrIsXN2GI,How I profited off the fidget spinner craze,2022-10-04,3004250,197699,260
14,PwAp8AaiOFU,Easy Amazon side hustle - sell books with no words #ad,2022-10-03,48959,3325,30
15,JSLsY0YdHrY,I made a 3D printed 500k YouTube play button,2022-10-01,49641,4279,39
16,Yb8PBOMEKiE,Make $1700 A Month Selling Books On Amazon - Easy Side Hustle - No Writing Required,2022-09-28,10834,680,90
17,5fwdTOSCHXg,How to make $200 a day with a drone,2022-09-23,1729501,123892,814
18,_v9TxKu5eHU,My best finds at the thrift store (as a reseller),2022-09-17,96751,6046,67
19,i3PhipDbJec,These boring glasses made me thousands online,2022-09-14,91084,8983,32
20,2bMxiKefjHw,Testing the world’s brightest flashlight OUTSIDE,2022-09-08,229984,16588,135
21,j1u40MkqNZo,I bought the brightest flashlight in the world ($700),2022-09-07,109407,6937,53
22,yELjMWa7Lq0,Unboxing the brightest flashlight in the world ($700),2022-09-07,50759,3611,35
23,WWvX_Ls1zd8,Picking the winner of the MacBook…,2022-09-05,53219,3890,59
24,oaoEYpKUaEA,I paid an artist $20 to turn Yeezy sneakers into sunglasses,2022-09-01,4234596,317273,645
25,7VuYOkPG4AE,I got a gadget filled mystery box in the mail #shorts #sponsored,2022-08-31,211944,16214,154
26,eSuFxZErf-c,The unfortunate truth of many US “factories”,2022-08-29,200262,10788,62
27,yYqWz-v9frA,Valuing the gold I found in Amazon pay dirt,2022-08-24,625339,52224,255
28,3-V00ElEXig,How much gold I found in Amazon pay dirt,2022-08-23,5827039,248207,778
29,7H0SC3a1J10,Is Gold Pay Dirt A Good Side Hustle?,2022-08-22,1844903,117969,420
30,_ysQw7k675o,I Bought Gold Pay Dirt And Made $______,2022-08-19,37322,1582,230
31,9-_qO9MfTso,How much my money making hotspot has made,2022-08-18,866417,64077,246
32,AdMYj6_5PpA,He sold me fake Pokémon cards… maybe?,2022-08-12,421491,21197,493
33,wIKBjVd8Yrw,He had 0 viewers… so I sent him $ for bitcoin,2022-08-11,157334,8667,87
34,Rd5XQOrUSio,Revealing My Entire Pokémon Investment,2022-08-08,2756855,115333,830
35,1rST6dPtfcQ,I tested the midnight Walmart side hustle,2022-08-05,1837882,71427,686
36,NeY88HMi5wA,I started a clothing brand for under $100 #shorts #ad,2022-08-04,188385,14119,98
37,G2ZwJE4Jm7U,saying goodbye…,2022-08-03,215543,16707,2622
38,MeR0neyhrEw,How much iPhone box costs to make in USA vs. China,2022-07-30,5546984,325141,5859
39,Feeh8hMClDU,How she started a $10mil per year “side hustle”,2022-07-28,180821,10472,116
40,sV76wNjPiuU,I Tried The Amazon Affiliate Side Hustle (how much I made),2022-07-27,385224,29550,99
41,ZkCZMeMBNS8,Is Amazon Affiliate Marketing a Good Side Hustle?,2022-07-26,2018008,152663,221
42,sn8D5BMDPfg,I Tried Selling Amazon Products With Memes,2022-07-25,39091,2187,77
43,nwmvg6vpMns,I’m turning a meme page into a business,2022-07-22,269367,22415,176
44,0luY8pOzNww,I bought a questionable pineapple…,2022-07-20,10616068,946659,4680
45,sZcgNlKA54k,I’m investing in $100 empty boxes #shorts #sponsored,2022-07-18,1681458,159558,475
46,_G6Tvk5rJdc,I paid Fiverr to redesign my product packaging,2022-07-14,7941682,408708,2753
47,-NeMQkXjzLQ,I tried turning $21 into $100 in profit (30min challenge),2022-07-12,1952270,158666,414
48,XUKTNl8i9uk,The science behind my new YouTube thumbnail…,2022-07-11,183171,12508,72
49,jjhNrouKLQ4,Taste testing the most expensive water on Amazon,2022-07-07,3095865,340768,1515
50,tFmEMzQFPYk,I bought the most expensive water on Amazon,2022-07-05,7633883,623213,4078
51,gKACwcBbsQ4,I tried going viral as a small brand,2022-07-01,3554636,318865,536
52,INCQBEu_juI,I’m building a sunglasses brand to compete with Rayban (ep.2),2022-06-28,771667,57089,417
53,ER0Nmtf1ZMw,I tried upgrading my money making hotspot (helium update PT.5),2022-06-25,2370984,154716,651
54,_4Q9pThNjL4,I Tried Relaunching My Failed Business - Ep.1,2022-06-24,16078,877,85
55,ADNuLSFOOXk,They were trying to disguise their side hustle…,2022-06-24,231893,11616,33
56,0JqbAZhncZ8,Did this seller scam me with her rolex?,2022-06-22,853458,65159,152
57,HuzI5-Cz6sM,I tried finding profitable flips (ELON MUSK EDITION),2022-06-18,806622,61655,173
58,3C-3pbYzPCg,I tried hyper realistic VR gaming (zombie edition),2022-06-16,453980,24664,98
59,tDEwiQlahfU,Surprising her with the cheapest rolex on eBay,2022-06-13,1316230,90274,1289
60,0gJlInD47gw,Confronting the seller of the “cheapest rolex on ebay”,2022-06-10,1234922,80809,626
61,auxv8xyea9c,Is the cheapest rolex on eBay real?,2022-06-09,30106646,2002289,2162
62,SHFWyvLzUxU,I Bought The Cheapest Rolex On eBay,2022-06-08,221018,14921,1410
63,hMVUdFEN74U,Unboxing the cheapest rolex on eBay,2022-06-03,546741,30044,234
64,KlTyRgVWqmI,I bought the cheapest rolex on eBay…,2022-06-02,1160878,54112,293
65,TaLnBn-qTAE,Did I find real Yeezy slides?,2022-05-30,4074711,308838,549
66,MKD8iBdT2TQ,Asking Rolex dealers if I can film in their store,2022-05-28,228490,11054,67
67,SX-An2mHmm0,I looked for profit in a RICH CITY thrift store,2022-05-27,1861965,115574,744
68,IAI1UswVJGA,My Money Printing Tablet Farm Journey (How much I made),2022-05-24,32861,1413,114
69,u6ZpmfV0Zck,I tried making money with unclaimed mail,2022-05-22,3214566,193022,728
70,7s_gTXbXBcU,Make this ONE change to 2x your eBay/Amazon sales,2022-05-20,1075509,63755,202
71,WW5xJ0yPdWE,My sneaky plan to monetize my meme page…,2022-05-18,252723,15479,176
72,nsvTEzFhwl4,I just UPGRADED my money making hotspot (helium update PT.4),2022-05-13,3348675,219116,774
73,eT60aL2ysCI,How my failed business started my new career…,2022-05-11,196201,12555,68
74,ZaxsNeUUoiM,I tried dropshipping… here’s how much I made,2022-05-10,267343,16393,91
75,dj9EQMAvrXQ,I tried finding profitable flips at Walmart (in a RICH city 💰),2022-05-06,2116905,123699,567
76,SI_89jAAohQ,I bought a Crushmetric SwitchPen (for research),2022-05-02,192329,13506,56
77,9EzqbL7guy0,I bought a Pokémon collection to flip for profit (AGAIN),2022-04-29,1533920,86320,457
78,2xQwD68FklU,My biggest viral video flop all time…,2022-04-26,155055,8807,32
79,pjmSeIDMKdY,Jason Derulo DM’d me… (here’s why),2022-04-22,149995,8124,55
80,bVn_DCwTG-w,I tried making a pro commercial for under $500,2022-04-21,150244,10616,105
81,D2SYEbTGa7Q,Jidion’s secret to growing 4mil subs in 1 year…,2022-04-18,96684,4489,30
82,rrH1T6KWaYA,I tried flipping sneakers from the Nike outlet,2022-04-15,5004675,306074,852
83,OnW8nR2t26o,How I used 1 viral video to grow my business FAST,2022-04-13,144830,8412,39
84,yLjzoQCsQ14,My biggest failure as an entrepreneur…,2022-04-12,113690,7247,94
85,fYOSzzEX8eU,Upgrading my office into a video studio for $100,2022-04-08,112897,6304,44
86,tWFr9mWxoeA,Comparing PRIME to Powerade (will this brand win?),2022-04-05,93456,5435,66
87,nMCi9ByUtac,I tried finding profitable flips at Walmart AGAIN,2022-04-01,2057610,128809,470
88,zKbnMJEpVkk,Giving streamers with 0 viewers $ to buy bitcoin,2022-03-31,122581,7084,89
89,RQilDfdV1vg,Unboxing my 100k play button  my best YT advice,2022-03-29,76442,5082,57
90,go1KYCtrl2Q,I asked a $100m CEO: “is college worth it?”,2022-03-26,103689,5042,49
91,m0PtxJF7Bh4,I tried finding profitable flips at Goodwill…,2022-03-24,1220806,82160,785
92,CqwErPqMwew,How I find niche $ making products on eBay,2022-03-17,116564,5882,52
93,z9MWIpKlhG8,Why I spent $3k on a full send metacard NFT (Nelk),2022-03-15,508914,18276,441
94,K6TzzlrmSMA,How I grew from 1k-100k subscribers in 1 week,2022-03-12,88116,4392,48
95,_UR4m2qtRsI,I upgraded my $ making hotspot (week 2 results),2022-03-10,541794,33465,204
96,dPkIKNBQGuM,I built a dropshipping store from a cozy cabin,2022-03-09,205689,9803,77
97,5HwXYQO4aC8,What influencers actually get for free…,2022-03-08,270517,18598,116
98,D4UXIL3BHNs,I tried starting a streetwear brand for $70,2022-03-07,530461,34462,534
99,ScJGWii1bwc,I spent $100 on Pokémon cards to flip for profit,2022-03-03,4554853,223045,1015
100,J6C4ZLvt1Oo,I made a diamond play button out of paper,2022-03-02,2674456,177703,350
101,Ip2JJbz11h4,How much $ I’ve made helium mining (Week 1),2022-02-28,2900702,180433,1206
102,x7EGS-QEqzA,I tried finding profitable flips at Walmart…,2022-02-25,16236845,851957,4176
103,0FXgNvNDqS8,I asked a 9 figure ecom CEO if FB ads still work,2022-02-25,186803,6914,35
104,dzCY_A1W2Wk,I built a sunglasses brand to compete with Ray-Ban,2022-02-24,2644327,123712,1119
105,MHcoJWtSP3g,I bought a wireless hotspot that makes me money,2022-02-22,6163849,296485,1255
106,xED6b2rRHM8,A multimillionaire CEO’s secret manufacturing tip,2022-02-18,1092992,51289,338
107,w9_og6FFEOY,How much my T-shirt store made from $100 in Fb ads,2022-02-17,396180,17998,85
108,G-pn6BF-8DY,My biggest struggle as an entrepreneur,2022-02-15,199155,10898,41
109,DitHFGQgqnY,Ranking side hustles I’ve tried from worst to best,2022-02-14,3036555,182392,698
110,_k56dhmsU_0,I paid Fiverr $30 and $120 to design NFT’s (comparison),2022-02-11,2493035,153407,1394
111,SPJ6Dfwja5w,My funniest flip I’ve ever done (made good $ tho),2022-02-10,176373,8643,55
112,o1R6m4vIJRY,I tried the golf club flipping side hustle (it works),2022-02-08,201786,8918,64
113,vzAqjWPBdSc,How I made my NFT chain (step by step),2022-02-07,223064,7828,152
114,PEvkwuJl-qg,“Drama” YouTubers are making a lot of money rn…,2022-02-05,154648,7236,61
115,JM2vkZBf0G4,How to grow $1k into $1mil online (what I did),2022-02-04,268687,14051,136
116,kFHPPvjvxxM,I made a chain so I can wear my NFT’s…,2022-02-02,98791,4843,103
117,IKQm6Qdut48,My print on demand t-shirt store is making money,2022-02-01,141991,6933,18
118,hqNw6WsmZeI,Why I’m not selling NFT’s ever again…,2022-01-31,435588,15715,268
119,Nbrj0tIVXb0,How I built a tablet farm that makes me money…,2022-01-28,13609004,584782,4414
120,H-XflV-5OyI,It took me 1 year to get 1k YouTube subs… 😭,2022-01-27,144452,8454,69
121,uEaXu1m4R5Y,How much my Pokémon cards investment is worth 💰,2022-01-26,14570731,874614,2566
122,3S7lqhdaOZw,I Paid Fiverr Video Editors To Make A Commercial,2022-01-25,1744928,121666,2473
123,I4f0lEcZQII,At 25yo I was doing $100k per month on eBay,2022-01-24,521855,27326,164
124,MIIWbM_JkeI,I tried the print on demand t-shirt side hustle,2022-01-20,104785,5802,40
125,K3cM2bwWwLw,How I&#39;ve Been Doubling My Money With NFT&#39;s,2022-01-19,27500,809,53
126,UhiSRuk7Lfw,I tried making $ with smaller NFT projects…,2022-01-18,141519,6120,83
127,owD-CiSL80Y,How much I made selling dollar store items online…,2022-01-17,1452106,85132,493
128,OtJbY-9XfwQ,Turning a dollar store product into a brand (ep.1),2022-01-13,84049,3352,14
129,FzYz_NPwtq0,My New Money Printing Tablet Farm,2022-01-07,225342,11572,245
130,vraQBntRrPE,Trying to turn $0 into $10k from scratch 💰,2021-10-28,4715317,245725,1026
131,erni261z5wU,I tried flipping NFTs… here’s how much I made.,2021-10-27,4474616,168062,1917
132,6hfjCpnlzDc,I tried finding profitable sneakers at Kohl’s 😖,2021-10-20,650797,39161,150
133,U1-PcDFMq4s,Dropshipping From A Cabin In The Woods (24HR Challenge),2021-10-15,13284,763,44
134,lzlRsoS64ss,Giving away your products is actually really smart,2021-10-14,77520,5186,29
135,Euqcd4OmycE,Were these brand names from Fiverr worth $50? 😖,2021-10-07,48474,1698,63
136,lgkKhShC_Ro,How a NEW eBay seller can rank and get sales ASAP,2021-10-06,65572,4268,21
137,6srUHtjuqaU,10k today or 1 Bitcoin in 5 years? (on Omegle…),2021-10-05,46069,1464,38
138,koCCIfqjFVc,Using a billboard to grow my Instagram (THE RESULTS),2021-10-01,40673,1679,14
139,bGMNgiIN6Wg,The Trick To The YouTube Shorts Algorithm…,2021-09-30,71412,4313,70
140,aTX1ICVgCBg,My first product I designed  manufactured 😖,2021-09-29,35346,2185,65
141,cfGULVTaeKk,Can you ACTUALLY grow on Instagram w/ billboards?,2021-09-28,33307,1542,12
142,MReS_0n_O_w,My Day As A Small YouTuber Trying To Make It (Raw Footage),2021-09-25,4019,158,40
143,PsQZ9xIlyXs,A famous artist asked for my help 😦…,2021-09-24,35792,1872,9
144,pf18KfzSt9M,The best eBay strategy ever 🙌,2021-09-22,35676,2153,10
145,sbnYnDTXoCA,Business is like a butterfly…,2021-09-21,29010,1247,6
146,SDFpP_2ateg,NFT pills!? Here’s why I bought one…,2021-09-16,30303,1163,23
147,CCfHpmBSzjA,I tried turning memes into T-shirt designs… 😖,2021-09-16,24660,864,6
148,8u2VsKWu39g,3 Slept On TikTok Tips That Made My Brand Go Viral,2021-09-14,5457,359,13
149,r6m0AMSVmjI,The weirdest business purchase I’ve ever made 😖,2021-09-14,29170,1184,19
150,kl7pxe5A-Aw,How to make your clothing brand go VIRAL,2021-09-10,51674,4310,16
151,tGgbRYqcWd8,I Bought A Billboard To Grow My Instagram,2021-09-07,4684,332,31
152,mzDMDhVvP0A,Prototyping has never been easier or cheaper…,2021-09-03,25556,1322,7
153,2yn9Pa2W_3w,I got thumbnail advice from MrBeast 😏,2021-09-02,532261,45826,225
154,nbd_D9WMNbQ,How to make your brand go viral on TikTok 🔥,2021-09-01,1844,64,2
155,iPqOKWMkylw,I Tried Making Money With Virtual Horse Racing,2021-08-31,12304,584,32
156,l4bo3VgRPRM,The cheap sunglasses side hustle… (no one’s doing it!),2021-08-27,30531,1421,28
157,Py31E3MKdzs,The genius marketing behind Logan  Jake Paul…,2021-08-27,20591,651,6
158,Ya1F3IErprw,I&#39;m quitting my job and becoming a digital horse breeder...,2021-08-25,24168,1168,13
159,Qwkyj91Cfqk,0 To 10k Instagram Followers From Scratch - Using TikTok to grow fast on IG | Ep. 2,2021-08-24,3639,170,11
160,B-JpKU85LIE,The EXACT method I used to get 500k followers on Facebook in 1 year 🔥,2021-08-24,17212,816,5
161,veqJBmRvkUI,I grossed millions on eBay with this method…,2021-08-19,32871,1660,11
162,wvSRhibMbg0,"Hey McDonald’s, do you accept Bitcoin? 😭",2021-08-18,15180,589,14
163,Rl_CVlIzW28,I manufactured an iPhone box from scratch 😖 (3 month process),2021-08-16,21292,1209,20
164,hwnTB0bDR_M,I made a terrible investment decision with this Pokémon card… 😭,2021-08-12,20270,769,10
165,CvYE6UGVLQs,I built a profitable Shopify store in 1 hour 👀,2021-08-11,33623,1816,21
166,zSyN4pW_tSg,How I Used Instagram To 2x My Business&#39; Sales,2021-08-11,1057,65,4
167,x_-_IlJg60Y,I paid $1365 for a product commercial on Fiverr… Was it worth it?,2021-08-06,17177,1154,40
168,62mioocQMXo,Calling Tesla And Asking If They Accept Bitcoin…,2021-08-06,16919,667,13
169,a27-MS2_vHU,I hired a lawyer for $183 off of Fiverr,2021-08-05,20501,856,18
170,pnOtEPg1GAE,How Yeti Charges $35 For A Cup…,2021-08-04,1038455,37628,691
171,Hz4bcxs7Vms,The genius marketing behind NELK  Full Send…,2021-08-02,154792,4941,109
172,MZs3jKq9Vlk,I PAID someone on FIVERR to EDIT my commercial,2021-07-26,26455,1330,31
173,ygsO-ExanEM,0 To 10k Instagram Followers From Scratch | Ep. 1,2021-07-23,6806,384,25
174,mvyd58lVVqc,Dropshipping is dead in 2021… Do this instead.,2021-07-20,32147,1105,19
175,ESiKMxt_384,The Instagram Growth Hack Big Pages Never Share… (2021),2021-07-01,3675,194,15
176,HyEaPaXQUeI,1 Hour Shopify Dropshipping Challenge (FROM SCRATCH),2021-06-23,5155,256,30
177,mkS_Z5t9u4k,I Tried Streaming On Facebook Gaming (Complete Beginner),2021-06-09,553,24,4
178,ZumkR6BUF5o,7 eBay Hacks That Big Sellers Never Share...,2021-06-01,4524,242,17
179,G64RvvjWadc,9 Side Hustles That Are Slept On In 2021 ($200 Per Day),2021-05-27,3058,175,9
180,qlPG818l_Yc,I Tried Dropshipping A Dollar Tree Product (72 Hour Challenge),2021-04-30,2206,95,10
181,GKgZiqBsxds,Zero To 500k On Facebook In 1 Year | Full Step By Step Training,2021-03-30,1080,81,10
182,Kxxxtkioncc,I Tried Dropshipping From Scratch (24HR CHALLENGE),2021-03-10,7339,397,55
183,-hQCZGiwyUA,How I Started A Million Dollar Business From My Mom&#39;s Basement,2021-02-23,6467,405,37
